Name (Link to Data Catalog - Field Name),Link to Data Catalog,Field Order,Field Name,Field Key,Field ID,Field Type (Airtable),Options (JSON),Field Description,Field Purpose,Business Context,Source (Link To Field Mappings),Target (Link To Field Mappings),Format,Validation,Formula,Formula Dependencies (Link To Data Dictionary),Code Dependencies,Input Methods,Read/Write,Created Date,Belongs To Namespace (Link to Namespaces),Related Form Questions (Link To Form Questions),General Notes,Table ID (From Data Catalog),Base ID (From Data Catalog),Table Name (From Data Catalog),Base/Source Name (From Data Catalog),Options (Text),Field Type (Standardized),For Betafits API?,Record ID,Formatting Rules (Link To Formatting Rules),Rule Sets (Link To Rule Sets),Related Fields (Link To Data Dictionary),Schema Schemer Recommendation,Schemer Priority,Schemer Human Review,Schemer Notes,Field Name (From Data Dictionary),Schemer Reviewer Note,Description For AI,Link To Paperwork Field Types,Last Run,Current/Delete,Max Last Run (From Data Catalog),From field: Related Fields (Link To Data Dictionary),Link to Files,From field: Formula Dependencies (Link To Data Dictionary)
Forms - Intake - Group Data - Medical Refund,Forms - Intake - Group Data,0,Medical Refund,medical_refund,fldx82pXactCOhO5o,,,The amount refunded to an employee for eligible medical expenses.,To record refunds associated with employee medical claims or reimbursements as part of benefit management.,"Used by employee benefits company to track monetary refunds related to medical benefit claims, ensuring accurate financial and benefits reconciliations.",Forms - Intake - Group Data - Medical Refund >  - Medical Refund - Forms > ROI Workbook,,,,,,,,,5/19/2025 10:33pm,,,,tbliXJ7599ngxEriO,appdqgKk1fmhfaJoT,Intake - Group Data,Forms,,,,reczrFfdKQHDRmjFw,,,,Change/Revise,Medium,,"SingleLineText field without description; needs clarification if numeric or text, and validation accordingly.",,,The amount refunded to an employee for eligible medical expenses.,,,,,,,
Forms - Intake - Group Data - Medical Rating,Forms - Intake - Group Data,0,Medical Rating,medical_rating,fldVMjlW72EFFbthX,,,This field captures the rating or classification assigned for medical benefits eligibility or underwriting purposes.,To categorize or assess an employee's medical risk or rating for benefits determination.,Used by employee benefits and insurance evaluators to manage and rate medical risk profiles impacting benefit plans and costs.,Forms - Intake - Group Data - Medical Rating >  - Medical Rating - Forms > ROI Workbook,,,,,,,,,5/19/2025 10:33pm,,,,tbliXJ7599ngxEriO,appdqgKk1fmhfaJoT,Intake - Group Data,Forms,,,,recxyiSVfnm9VX97q,,,,Change/Revise,Medium,,"Similar to above, a text field without format validation or description. Clarify intended content.",,Confirm ,This field captures the rating or classification assigned for medical benefits eligibility or underwriting purposes.,,,,,,,
Forms - Intake - Group Data - Preferred Contribution Strategy,Forms - Intake - Group Data,0,Preferred Contribution Strategy,preferred_contribution_strategy,fldE4fEXx6n5ThslN,,"[{""label"": ""Flat dollar contribution per employee"", ""value"": ""flat_dollar_contribution_per_employee""}, {""label"": ""Flat dollar contribution per employee w/ additional amount for spouses/dependents"", ""value"": ""flat_dollar_contribution_per_employee_additional_for_spouses_dependents""}, {""label"": ""Percentage of employee base plan and employee pays the difference for buy-up plan or to add family members"", ""value"": ""percentage_of_employee_base_plan_employee_pays_difference_buyup_or_family""}, {""label"": ""Percentage of all employee plans and a percentage for adding family members"", ""value"": ""percentage_of_all_employee_plans_and_percentage_for_family""}, {""label"": ""Not Sure"", ""value"": ""not_sure""}]","Defines the method by which an employer contributes towards employee benefits. This includes various strategies such as flat dollar amounts, percentages, and contributions for spouses or dependents.",To specify and standardize how employee benefit contributions are structured and applied within the organization's benefits plans.,"Used by the employee benefits administration team to configure, communicate, and manage employer contribution models that impact employee coverage costs and plan design.",,,,,,,,,,5/19/2025 10:33pm,,,,tbliXJ7599ngxEriO,appdqgKk1fmhfaJoT,Intake - Group Data,Forms,"Flat dollar contribution per employee, Flat dollar contribution per employee w/ additional amount for spouses/dependents, Percentage of employee base plan and employee pays the difference for buy-up plan or to add family members, Percentage of all employee plans and a percentage for adding family members, Not Sure",,,recs2HKFfyBuqwpAt,,,,Approved,Medium,,"SingleSelect with detailed descriptive options, suitable.",,,"Defines the method by which an employer contributes towards employee benefits. This includes various strategies such as flat dollar amounts, percentages, and contributions for spouses or dependents.",,,,,,,
Forms - Intake - Group Data - Medical ER Contribution Strategy,Forms - Intake - Group Data,0,Medical ER Contribution Strategy,medical_er_contribution_strategy,fldQDj2CMuHntAZkZ,,"[{""label"": ""Flat Dollar Employer Contribution"", ""value"": ""flat_dollar_employer_contribution""}, {""label"": ""Percentage Employer Contribution"", ""value"": ""percentage_employer_contribution""}, {""label"": ""Flat Dollar Employee Contribution"", ""value"": ""flat_dollar_employee_contribution""}, {""label"": ""Custom Amount for Each Plan/Tier"", ""value"": ""custom_amount_for_each_plan_tier""}, {""label"": ""Other"", ""value"": ""other""}]","Defines the employer contribution strategy for medical benefits, specifying how contributions are calculated and applied.",To classify the type of employer or employee contribution strategy applicable to medical benefit plans.,Used by benefits administrators and payroll systems to determine contribution amounts for medical coverage.,Forms - Intake - Group Data - Medical ER Contribution Strategy >  - Contrib Type - Forms > ROI Workbook,,,,,,,,,5/19/2025 10:33pm,,,,tbliXJ7599ngxEriO,appdqgKk1fmhfaJoT,Intake - Group Data,Forms,"Flat Dollar Employer Contribution, Percentage Employer Contribution, Flat Dollar Employee Contribution, Custom Amount for Each Plan/Tier, Other",,,recQM907a2EuIXVms,,,Transformation Engine - Paperwork Fields - Medical Contribution Strategy,Approved,Medium,,SingleSelect with relevant contributions strategies described.,Medical Contribution Strategy,,"Defines the employer contribution strategy for medical benefits, specifying how contributions are calculated and applied.",,,,,,,
Forms - Intake - Group Data - Medical Hospital,Forms - Intake - Group Data,0,Medical Hospital,medical_employee_contribution_percent,fldttx2PUqxrnfjs9,,,Percentage of the employee's contribution towards medical benefits. Previously recorded as Medical EE % or amount in dollars.,"To capture the portion of medical benefit costs that the employee is responsible for paying, expressed as a percentage of total medical benefits.","Used in employee benefits administration to calculate payroll deductions, employee cost sharing, and eligibility for medical benefits plans.",Forms - Intake - Group Data - Medical Hospital >  - EE % - Forms > ROI Workbook,,,,,,,,,5/19/2025 10:33pm,,,,tbliXJ7599ngxEriO,appdqgKk1fmhfaJoT,Intake - Group Data,Forms,,,,recMkgqFLMY4EcANg,,,,Change/Revise,Medium,Revised,SingleLineText storing percent or dollar value. Recommend adopting Number with validation and explicit description.,,The field type is single line text to give the user the flexibility to enter Dollar or Per Cent,Percentage of the employee's contribution towards medical benefits. Previously recorded as Medical EE % or amount in dollars.,,,,,,,
Forms - Intake - Group Data - Medical Dep %,Forms - Intake - Group Data,0,Medical Dep %,medical_dep_percent,fldTNLzTvVyaHL4fo,,,Percentage or dollar amount representing medical department contributions or expenses.,To capture the percentage or dollar amount related to medical department benefits or costs for employees.,"Used within employee benefits management to track medical department-related financial data, either as percentages or absolute amounts.",Forms - Intake - Group Data - Medical Dep % >  - Dep % - Forms > ROI Workbook,,,,,,,,,5/19/2025 10:33pm,,,,tbliXJ7599ngxEriO,appdqgKk1fmhfaJoT,Intake - Group Data,Forms,,,,recgfAPnVsw6rkNBW,,,Transformation Engine - Paperwork Fields - Contribution % (Dependent),Approved,Medium,,"Same as above, encourage Number type and consistent units.",Contribution % (Dependent),,Percentage or dollar amount representing medical department contributions or expenses.,,,,,,,
Forms - Intake - Group Data - ER Contribution $,Forms - Intake - Group Data,,ER Contribution $,,fldXERl0z66lL3o1h,,{},,,,Forms - Intake - Group Data - ER Contribution $ >  - Flat Amount - Forms > ROI Workbook,,,,,,,,,5/19/2025 10:33pm,,,,tbliXJ7599ngxEriO,appdqgKk1fmhfaJoT,Intake - Group Data,Forms,,,,recLL2vF2EEMjQacO,,,,,,,,,,,,,,,,,
Forms - Intake - Group Data - Medical Specialist,Forms - Intake - Group Data,0,Medical Specialist,medical_buy_up_strategy,fldQtNKGpuf4fonnZ,,,Details the approach or options available for employees to buy additional medical coverage beyond the standard plan.,"To track and manage medical coverage enhancements that employees may elect, enabling tailored benefits administration.",Used by benefits administrators to understand employee election options and manage costs associated with medical benefits buy-ups.,Forms - Intake - Group Data - Medical Specialist >  - Buyup Strategy - Forms > ROI Workbook,,,,,,,,,5/19/2025 10:33pm,,,,tbliXJ7599ngxEriO,appdqgKk1fmhfaJoT,Intake - Group Data,Forms,,,,recLWmImJh4DBxZo5,,,,Approved,Low,,"Multiline text for strategy details appropriate, no changes needed.",,,Details the approach or options available for employees to buy additional medical coverage beyond the standard plan.,,,,,,,
Forms - Intake - Group Data - ER Pct. Contribution to EE tier Medical,Forms - Intake - Group Data,,ER Pct. Contribution to EE tier Medical,,fld0OjAsOEIyF7FMz,,"{""precision"":0}",,,,,,,,,,,,,5/19/2025 10:33pm,,,,tbliXJ7599ngxEriO,appdqgKk1fmhfaJoT,Intake - Group Data,Forms,,,,recGkTzPAvJPkYZd8,,,,,,,,,,,,,,,,,
Forms - Intake - Group Data - ER Pct. Contribution to ES tier Medical,Forms - Intake - Group Data,,ER Pct. Contribution to ES tier Medical,,fldCHD6v9usI2v6n8,,"{""precision"":0}",,,,,,,,,,,,,5/19/2025 10:33pm,,,,tbliXJ7599ngxEriO,appdqgKk1fmhfaJoT,Intake - Group Data,Forms,,,,recxgwkBbvfjsBlPJ,,,,,,,,,,,,,,,,,
Forms - Intake - Group Data - ER Pct. Contribution to EC tier Medical,Forms - Intake - Group Data,,ER Pct. Contribution to EC tier Medical,,fldwx4r6gnkndrutF,,"{""precision"":0}",,,,,,,,,,,,,5/19/2025 10:33pm,,,,tbliXJ7599ngxEriO,appdqgKk1fmhfaJoT,Intake - Group Data,Forms,,,,recrYsgDaTi3u1YgN,,,,,,,,,,,,,,,,,
Forms - Intake - Group Data - ER Pct. Contribution to EF tier Medical,Forms - Intake - Group Data,,ER Pct. Contribution to EF tier Medical,,fldYjew6Pm1eKl9i0,,"{""precision"":0}",,,,,,,,,,,,,5/19/2025 10:33pm,,,,tbliXJ7599ngxEriO,appdqgKk1fmhfaJoT,Intake - Group Data,Forms,,,,recJuaIQMUskTFFlq,,,,,,,,,,,,,,,,,
Forms - Intake - Group Data - Medical Urgent Care,Forms - Intake - Group Data,0,Medical Urgent Care,dental_er_contribution_strategy,fld5vhfPy1iadCsoK,,"[{""label"":""Flat Dollar Employer Contribution"",""value"":""flat_dollar_employer_contribution""},{""label"":""Percentage Employer Contribution"",""value"":""percentage_employer_contribution""},{""label"":""Flat Dollar Employee Contribution"",""value"":""flat_dollar_employee_contribution""},{""label"":""Custom Amount for Each Plan/Tier"",""value"":""custom_amount_for_each_plan_tier""},{""label"":""Other"",""value"":""other""}]",Specifies the employer contribution strategy applied to dental benefits plans.,"To categorize the method of employer contributions for dental insurance, such as flat dollar or percentage contributions.",Used by employee benefits administrators and payroll systems to manage and calculate dental employer contributions accurately.,,,,,,,,,,5/19/2025 10:33pm,,,,tbliXJ7599ngxEriO,appdqgKk1fmhfaJoT,Intake - Group Data,Forms,"Flat Dollar Employer Contribution, Percentage Employer Contribution, Flat Dollar Employee Contribution, Custom Amount for Each Plan/Tier, Other",,,recL4nPaA8ivEEXk9,,,,Approved,Medium,,"Same pattern as medical contribution strategy, well defined.",,,Specifies the employer contribution strategy applied to dental benefits plans.,,,,,,,
Forms - Intake - Group Data - ER Pct. Contribution to EE tier Dental,Forms - Intake - Group Data,,ER Pct. Contribution to EE tier Dental,,fldGLFlZwkl0UtKsp,,{},,,,,,,,,,,,,5/19/2025 10:33pm,,,,tbliXJ7599ngxEriO,appdqgKk1fmhfaJoT,Intake - Group Data,Forms,,,,recmj6mzvrPSRTxtt,,,,,,,,,,,,,,,,,
Forms - Intake - Group Data - Dental Dep %,Forms - Intake - Group Data,0,Dental Dep %,dental_dep_percent,fldxHI3UKOUUS5TE6,,,Percentage contribution or coverage provided for dental dependents under the employee benefits plan.,To specify the dental benefit percentage applicable to dependents covered under the plan.,Used to calculate and manage dental benefit costs and coverage levels for dependents of enrolled employees in the benefits system.,,,,,,,,,,5/19/2025 10:33pm,,,,tbliXJ7599ngxEriO,appdqgKk1fmhfaJoT,Intake - Group Data,Forms,,,,rec0cOx7DgdrIuFws,,,,Approved,Medium,,Same as above.,,,Percentage contribution or coverage provided for dental dependents under the employee benefits plan.,,,,,,,
Forms - Intake - Group Data - Medical Office,Forms - Intake - Group Data,0,Medical Office,vision_ee_percentage,fldwgz1pNVjZVlAvz,,,Percentage of Vision insurance premium shared by the employee (EE).,To capture the employee's share of the vision insurance premium as a percentage of the total premium cost.,Used in calculations for employee deductions and benefits cost allocation related to vision insurance.,,,,,,,,,,5/19/2025 10:33pm,,,,tbliXJ7599ngxEriO,appdqgKk1fmhfaJoT,Intake - Group Data,Forms,,,,recKUJiJKpc9ItMsd,,,,Revised,Medium,,"Text field used for percentage, recommend switching to Number with clarity.",,,Percentage of Vision insurance premium shared by the employee (EE).,,,,,,,
Forms - Intake - Group Data - ER Pct. Contribution to EF tier Dental,Forms - Intake - Group Data,,ER Pct. Contribution to EF tier Dental,,fldVXU7RCLHMjpXcx,,{},,,,,,,,,,,,,5/19/2025 10:33pm,,,,tbliXJ7599ngxEriO,appdqgKk1fmhfaJoT,Intake - Group Data,Forms,,,,recAyOwLC0v5A8d0v,,,,,,,,,,,,,,,,,
Forms - Intake - Group Data - Vision ER Contribution Strategy,Forms - Intake - Group Data,0,Vision ER Contribution Strategy,vision_er_contribution_strategy,fldkZVLxmyc6pF0bQ,,"[{""label"":""Flat Dollar Employer Contribution"",""value"":""flat_dollar_employer_contribution""},{""label"":""Percentage Employer Contribution"",""value"":""percentage_employer_contribution""},{""label"":""Flat Dollar Employee Contribution"",""value"":""flat_dollar_employee_contribution""},{""label"":""Custom Amount for Each Plan/Tier"",""value"":""custom_amount_for_each_plan_tier""},{""label"":""Other"",""value"":""other""}]","Specifies the employer contribution strategy for vision benefits, indicating the method by which the employer contributes to the employee's vision plan.",To define how the employer's contribution to vision benefits is calculated or allocated for employees.,"Used in managing employer contributions for vision benefits within employee benefits administration, essential for payroll and benefits planning.",,,,,,,,,,5/19/2025 10:33pm,,,,tbliXJ7599ngxEriO,appdqgKk1fmhfaJoT,Intake - Group Data,Forms,"Flat Dollar Employer Contribution, Percentage Employer Contribution, Flat Dollar Employee Contribution, Custom Amount for Each Plan/Tier, Other",,,rec2fIKByS1JJAwnO,,,,Approved,Medium,,"Consistent with other ER contribution strategies, good.",,,"Specifies the employer contribution strategy for vision benefits, indicating the method by which the employer contributes to the employee's vision plan.",,,,,,,
Forms - Intake - Group Data - ER Pct. Contribution to EE tier Vision,Forms - Intake - Group Data,,ER Pct. Contribution to EE tier Vision,,fldCk8rmohbdaSfek,,"{""precision"":0}",,,,,,,,,,,,,5/19/2025 10:33pm,,,,tbliXJ7599ngxEriO,appdqgKk1fmhfaJoT,Intake - Group Data,Forms,,,,rec9crlsO4VHRS3ap,,,,,,,,,,,,,,,,,
Forms - Intake - Group Data - Vision Dep %,Forms - Intake - Group Data,0,Vision Dep %,vision_dep_percent,fldFn4ugsSq9ejZ9U,,,The percentage of the vision insurance premium that is covered or contributed.,To record the percentage of vision benefit premiums paid by the employee or employer.,Used to calculate employee or employer contributions towards vision insurance in employee benefits management.,,,,,,,,,,5/19/2025 10:33pm,,,,tbliXJ7599ngxEriO,appdqgKk1fmhfaJoT,Intake - Group Data,Forms,,,,receJcTue3gjyDjJm,,,,Approved,Medium,,Same as above.,,,The percentage of the vision insurance premium that is covered or contributed.,,,,,,,
Forms - Intake - Group Data - Vision Flat $,Forms - Intake - Group Data,0,Vision Flat $,vision_flat_dollar,flduDku9vHYRNy1DL,,,The fixed dollar amount allocated for vision benefits under an employee benefits plan.,To record the flat dollar contribution or coverage amount specifically designated for vision benefits.,Used in employee benefits administration to track vision-related benefit expenses and contributions consistently.,,,,,,,,,,5/19/2025 10:33pm,,,,tbliXJ7599ngxEriO,appdqgKk1fmhfaJoT,Intake - Group Data,Forms,,,,recqWUmLncdDl78H7,,,,Change/Revise,Medium,,"Monetary value stored as text is risky, prefer Number with formatting.",,,The fixed dollar amount allocated for vision benefits under an employee benefits plan.,,,,,,,
Forms - Intake - Group Data - Vision Buyup Strategy,Forms - Intake - Group Data,0,Vision Buyup Strategy,vision_buyup_strategy,fldggDBS4QXnAAoge,,,Specifies the strategy for vision insurance buy-up options offered to employees.,To capture and define various vision buy-up strategies available in employee benefits plans.,Used by benefits administrators and HR teams to manage vision insurance options and support employee enrollment decisions.,,,,,,,,,,5/19/2025 10:33pm,,,,tbliXJ7599ngxEriO,appdqgKk1fmhfaJoT,Intake - Group Data,Forms,,,,recy4hgWIi1K51xFx,,,,Approved,Low,,"Multiline text for descriptive strategy, appropriate.",,,Specifies the strategy for vision insurance buy-up options offered to employees.,,,,,,,
Forms - Intake - Group Data - Base Plan-Only Contribution Strategy?,Forms - Intake - Group Data,0,Base Plan-Only Contribution Strategy?,base_plan_only_contribution_strategy,fldN1ruWFe4KQ1zCq,,"[{""label"": ""Yes"", ""value"": ""yes""}, {""label"": ""No"", ""value"": ""no""}]",Indicates whether the contribution amount applies only to a base plan and employees pay the difference to buy up.,To specify if the contribution amount is limited to the base plan with additional employee buy-up required.,Used in employee benefits administration to clarify contribution strategies and calculate employee plan costs accurately.,,,,,,,,,,5/19/2025 10:33pm,,,,tbliXJ7599ngxEriO,appdqgKk1fmhfaJoT,Intake - Group Data,Forms,"Yes, No",,,recP10iE25tKjUwB1,,,,Approved,Medium,,Yes/No SingleSelect appropriate.,,,Indicates whether the contribution amount applies only to a base plan and employees pay the difference to buy up.,,,,,,,
Forms - Intake - Group Data - Importance of Total Cost,Forms - Intake - Group Data,0,Importance of Total Cost,importance_of_total_cost,fldNlY65fybPFr7sF,,"[{""label"":""Not Important"",""value"":""not_important""},{""label"":""Somewhat Important"",""value"":""somewhat_important""},{""label"":""Important"",""value"":""important""},{""label"":""Very Important"",""value"":""very_important""}]",Indicates the level of importance of the total cost when selecting a carrier and plans.,To capture how critical the total cost factor is in decision-making regarding carrier and plan choice.,Used by benefits managers and decision-makers to evaluate pricing sensitivity and cost prioritization in plan offerings.,,,,,,,,,,5/19/2025 10:33pm,,,,tbliXJ7599ngxEriO,appdqgKk1fmhfaJoT,Intake - Group Data,Forms,"Not Important, Somewhat Important, Important, Very Important",,,rec2nShnbQFovba83,,,,Approved,Medium,,SingleSelect importance scale. Description supports selection.,,,Indicates the level of importance of the total cost when selecting a carrier and plans.,,,,,,,
Forms - Intake - Group Data - Importance of Value For Money,Forms - Intake - Group Data,0,Importance of Value For Money,importance_of_value_for_money,fldhyWIdZ6fZ50Puk,,"[{""label"": ""Not Important"", ""value"": ""not_important""}, {""label"": ""Somewhat Important"", ""value"": ""somewhat_important""}, {""label"": ""Important"", ""value"": ""important""}, {""label"": ""Very Important"", ""value"": ""very_important""}]",Rating the importance of value for money when choosing insurance carriers and plans.,To capture the significance of cost-effectiveness in decision-making for selecting employee benefits carriers and plans.,Helps understand client priorities regarding cost versus coverage to tailor employee benefits plans that balance affordability with value.,,,,,,,,,,5/19/2025 10:33pm,,,,tbliXJ7599ngxEriO,appdqgKk1fmhfaJoT,Intake - Group Data,Forms,"Not Important, Somewhat Important, Important, Very Important",,,recooQQ6qpRVNcqdV,,,,Approved,Medium,,Consistent with other importance scale fields.,,,Rating the importance of value for money when choosing insurance carriers and plans.,,,,,,,
Forms - Intake - Group Data - Importance of Market Share,Forms - Intake - Group Data,0,Importance of Market Share,importance_of_market_share,fldzLlOiycPLRZhZS,,"[{""label"": ""Not Important"", ""value"": ""not_important""},{""label"": ""Somewhat Important"", ""value"": ""somewhat_important""},{""label"": ""Important"", ""value"": ""important""},{""label"": ""Very Important"", ""value"": ""very_important""}]",Specifies how important market share is when choosing a carrier and plans.,To capture the significance of market share as a criterion for selecting carriers and plans in employee benefits.,"Market share importance impacts decision-making for carriers and benefit plans, influencing competitive positioning and strategic selections.",,,,,,,,,,5/19/2025 10:33pm,,,,tbliXJ7599ngxEriO,appdqgKk1fmhfaJoT,Intake - Group Data,Forms,"Not Important, Somewhat Important, Important, Very Important",,,recZAoNcnY9dbWyty,,,,Approved,Medium,,"Same pattern, clear usage.",,,Specifies how important market share is when choosing a carrier and plans.,,,,,,,
Forms - Intake - Group Data - Importance of Size of Network,Forms - Intake - Group Data,0,Importance of Size of Network,importance_of_size_of_network,fldvU9nNhIm3iG1Uh,,"[{""label"": ""Not Important"", ""value"": ""not_important""}, {""label"": ""Somewhat Important"", ""value"": ""somewhat_important""}, {""label"": ""Important"", ""value"": ""important""}, {""label"": ""Very Important"", ""value"": ""very_important""}]",Indicates how important the size of the network is when selecting a carrier and plans.,To assess the priority given by employees or clients to the size of the provider network during benefits plan selection.,Helps the company understand customer preferences and priorities in choosing health insurance carriers and plans based on network size.,,,,,,,,,,5/19/2025 10:33pm,,,,tbliXJ7599ngxEriO,appdqgKk1fmhfaJoT,Intake - Group Data,Forms,"Not Important, Somewhat Important, Important, Very Important",,,recOpRYI7MwxGv8lp,,,,Approved,Medium,,Consistent field.,,,Indicates how important the size of the network is when selecting a carrier and plans.,,,,,,,
Forms - Intake - Group Data - Importance of Healthcare Navigation,Forms - Intake - Group Data,0,Importance of Healthcare Navigation,importance_of_healthcare_navigation,fldhZnUjxlssHin8d,,"[{""label"": ""Not Important"", ""value"": ""not_important""}, {""label"": ""Somewhat Important"", ""value"": ""somewhat_important""}, {""label"": ""Important"", ""value"": ""important""}, {""label"": ""Very Important"", ""value"": ""very_important""}]",Importance of this in choosing carrier and plans,To assess the importance of healthcare navigation in the decision-making process for selecting insurance carriers and plans.,Helps in tailoring benefit offerings and customer communication based on how critical healthcare navigation support is to plan members.,,,,,,,,,,5/19/2025 10:33pm,,,,tbliXJ7599ngxEriO,appdqgKk1fmhfaJoT,Intake - Group Data,Forms,"Not Important, Somewhat Important, Important, Very Important",,,recrROADtMt2Mm3Iq,,,,Approved,Medium,,Same as other importance fields.,,,Importance of this in choosing carrier and plans,,,,,,,
Forms - Intake - Group Data - Importance of Mental Health Resources,Forms - Intake - Group Data,0,Importance of Mental Health Resources,importance_of_mental_health_resources,fldrPxI4FiELmYbJp,,"[{""label"": ""Not Important"", ""value"": ""not_important""}, {""label"": ""Somewhat Important"", ""value"": ""somewhat_important""}, {""label"": ""Important"", ""value"": ""important""}, {""label"": ""Very Important"", ""value"": ""very_important""}]",Indicates how important mental health resources are to the employee when choosing carrier and plans for their benefits.,To assess the weight or priority given to mental health support services in the selection of employee benefits plans and carriers.,"Used by the benefits company to tailor plan offerings and carrier options to employee preferences related to mental health resources, ensuring better plan alignment and satisfaction.",,,,,,,,,,5/19/2025 10:33pm,,,,tbliXJ7599ngxEriO,appdqgKk1fmhfaJoT,Intake - Group Data,Forms,"Not Important, Somewhat Important, Important, Very Important",,,recp1OYjOKZhYXtNt,,,,Approved,Medium,,"SingleSelect importance scale, consistent with other fields.",,,Indicates how important mental health resources are to the employee when choosing carrier and plans for their benefits.,,,,,,,
Forms - Intake - Group Data - Enr EC,Forms - Intake - Group Data,0,Enr EC,importance_of_telemedicine_access,fld3OEAOZdyEJpFIV,,"[{""label"": ""Not Important"", ""value"": ""not_important""}, {""label"": ""Somewhat Important"", ""value"": ""somewhat_important""}, {""label"": ""Important"", ""value"": ""important""}, {""label"": ""Very Important"", ""value"": ""very_important""}]",Indicates the importance of telemedicine access in the decision-making process for selecting insurance carriers and plans.,To capture how critical telemedicine access is when employees or clients choose their healthcare carrier and plans.,Used by the benefits company to assess the value placed on telemedicine access by employees and to tailor plan offerings accordingly.,,Default Value:  > Forms - Intake - Group Data - Enr EC - Forms > ROI Workbook,,,,,,,,5/19/2025 10:33pm,,,,tbliXJ7599ngxEriO,appdqgKk1fmhfaJoT,Intake - Group Data,Forms,"Not Important, Somewhat Important, Important, Very Important",,,recHLX5XIx0YcWeni,,,,Approved,Medium,,Consistent modeling.,,,Indicates the importance of telemedicine access in the decision-making process for selecting insurance carriers and plans.,,,,,,,
Forms - Intake - Group Data - Importance of Modern Technology and Support,Forms - Intake - Group Data,0,Importance of Modern Technology and Support,importance_of_modern_technology_and_support,fldrHyYO2EXHV6ZwX,,"[{""label"":""Not Important"",""value"":""not_important""},{""label"":""Somewhat Important"",""value"":""somewhat_important""},{""label"":""Important"",""value"":""important""},{""label"":""Very Important"",""value"":""very_important""}]",Indicates how important modern technology and support are when choosing carriers and plans for employee benefits.,To assess the significance of technology and support services in the decision-making process for selecting insurance carriers and benefit plans.,Helps benefits providers understand client priorities related to technology and support to tailor offerings and improve service delivery.,,,,,,,,,,5/19/2025 10:33pm,,,,tbliXJ7599ngxEriO,appdqgKk1fmhfaJoT,Intake - Group Data,Forms,"Not Important, Somewhat Important, Important, Very Important",,,recybqDK30WwDmrfv,,,,Approved,Medium,,Same pattern.,,,Indicates how important modern technology and support are when choosing carriers and plans for employee benefits.,,,,,,,
Forms - Intake - Group Data - Current Medical Plan Rating Type,Forms - Intake - Group Data,0,Current Medical Plan Rating Type,current_medical_plan_rating_type,fld3CnZfMtnfrHZO8,,"[{""label"": ""Age-Banded"", ""value"": ""Age-Banded""}, {""label"": ""Composite-Rated"", ""value"": ""Composite-Rated""}, {""label"": ""Not Sure"", ""value"": ""Not Sure""}]",Type of rating method used for the current medical insurance plan as categorized by age bands or composite rating.,To specify the method used to rate the current medical plan for underwriting and premium calculation purposes.,"Useful in employee benefits administration to identify the rating strategy applied to medical insurance plans, impacting pricing and plan design.",,,,,,,,,,5/19/2025 10:33pm,,,,tbliXJ7599ngxEriO,appdqgKk1fmhfaJoT,Intake - Group Data,Forms,"Age-Banded, Composite-Rated, Not Sure",,,recbBRHrsYU0XpA74,,,,Approved,Medium,,SingleSelect with appropriate options.,,,Type of rating method used for the current medical insurance plan as categorized by age bands or composite rating.,,,,,,,
Forms - Intake - Group Data - Medical OOPM,Forms - Intake - Group Data,0,Medical OOPM,module_selection,fldIekNTMp19XOoDb,,"[{""label"":""Document Uploader*"",""value"":""selxtyzGvIoNYHM7G""},{""label"":""Company Information*"",""value"":""sel964bZf4GDJV8ey""},{""label"":""Benefit Basics*"",""value"":""selO1xhRdEnwGyJDn""},{""label"":""Medical Plan Strategy*"",""value"":""selS8t0Wv0cQ47KHr""},{""label"":""Benefit Deductions and Eligibility*"",""value"":""selDS9ypSaxP60O6r""},{""label"":""HR Technology*"",""value"":""selNw5tlkdc0RqKAz""},{""label"":""Culture Alignment"",""value"":""selhsA0rcE10DtuGo""},{""label"":""Dental, Vision, and Ancillary"",""value"":""seldXsatmQGRuUFuW""},{""label"":""Voluntary Benefits"",""value"":""selWRO1jxcPcNAl7C""},{""label"":""401(k)"",""value"":""selh84k59GdAWs0Ol""},{""label"":""FSA/HRA/COBRA"",""value"":""selUA9nWE3nXwC9M1""},{""label"":""Broker Role"",""value"":""selnnQNzAehiozbZ4""},{""label"":""PEO Analysis"",""value"":""sellpn2SQYLEvYtCj""}]",Allows selection of one or more benefit-related modules for categorization or configuration.,To enable users to select multiple relevant modules related to employee benefits for processing or documentation purposes.,"Used in employee benefits systems to categorize and manage documents or configurations by relevant modules such as Medical Plan Strategy, 401(k), or HR Technology.",,,,,,,,,,5/19/2025 10:33pm,,,,tbliXJ7599ngxEriO,appdqgKk1fmhfaJoT,Intake - Group Data,Forms,"Document Uploader*, Company Information*, Benefit Basics*, Medical Plan Strategy*, Benefit Deductions and Eligibility*, HR Technology*, Culture Alignment, Dental, Vision, and Ancillary, Voluntary Benefits, 401(k), FSA/HRA/COBRA, Broker Role, PEO Analysis",,,recJ3qxMM1hOOsDVZ,,,,Approved,Medium,,MultipleSelects with comprehensive and relevant module options.,,,Allows selection of one or more benefit-related modules for categorization or configuration.,,,,,,,
